Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation,Primary Antibiotic Description
cholera,Doxycycline,Azithromycin,Ciprofloxacin,Quickly reduces bacterial load and disease duration.,"A tetracycline antibiotic effective against a broad range of bacteria. Commonly used for respiratory infections, skin infections, and tick-borne diseases."
tuberculosis,Isoniazid,Rifampin,Ethambutol,Core components of first-line TB therapy for drug-sensitive cases.,An essential first-line agent for tuberculosis. Targets actively dividing Mycobacterium tuberculosis.
typhoid,Ceftriaxone,Azithromycin,Ciprofloxacin,Highly effective against Salmonella Typhi and resistant strains.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
leptospirosis,Doxycycline,Amoxicillin,Azithromycin,Covers Leptospira spp. and prevents severe complications.,"A tetracycline antibiotic effective against a broad range of bacteria. Commonly used for respiratory infections, skin infections, and tick-borne diseases."
shigellosis,Ciprofloxacin,Azithromycin,Ceftriaxone,Preferred choices for treating Shigella infections effectively.,"A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
salmonellosis,Ciprofloxacin,Azithromycin,Ceftriaxone,"Targets Salmonella species effectively, reducing carrier states.","A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
whooping_cough,Azithromycin,Erythromycin,Clarithromycin,Macrolides reduce disease spread and symptom severity.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
legionnaires_disease,Azithromycin,Levofloxacin,Ciprofloxacin,Highly active against Legionella pneumophila.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
plague,Streptomycin,Gentamicin,Doxycycline,Streptomycin remains highly effective; others offer alternatives.,An aminoglycoside antibiotic with activity against Gram-negative and some Gram-positive bacteria. Essential for plague and tuberculosis.
anthrax,Ciprofloxacin,Doxycycline,Amoxicillin,First-line treatment for cutaneous and inhalational anthrax.,"A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
meningitis,Ceftriaxone,Vancomycin,Ampicillin,Covers major causative bacteria of bacterial meningitis.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
sepsis,Vancomycin,Piperacillin-Tazobactam,Meropenem,Broad-spectrum coverage for critically ill patients.,"A glycopeptide antibiotic for Gram-positive infections, including MRSA. Used for severe or resistant infections."
endocarditis,Penicillin,Vancomycin,Gentamicin,Combination therapy for common pathogens and biofilm-associated bacteria.,A beta-lactam antibiotic effective against Gram-positive organisms. Gold standard for syphilis and other infections.
osteomyelitis,Nafcillin,Cefazolin,Vancomycin,Covers Staphylococcus aureus and Gram-positive organisms.,
prostatitis,Ciprofloxacin,Levofloxacin,Doxycycline,Excellent prostate penetration and activity against common pathogens.,"A fluoroquinolone with broad-spectrum activity. Often used for UTIs, respiratory infections, and gastrointestinal infections."
epiglottitis,Ceftriaxone,Ampicillin-Sulbactam,Levofloxacin,Covers Haemophilus influenzae and other causative bacteria.,A third-generation cephalosporin with broad-spectrum activity. Effective against Gram-positive and Gram-negative bacteria. Commonly used for severe infections.
diphtheria,Erythromycin,Penicillin,Clindamycin,Targets Corynebacterium diphtheriae effectively.,"A macrolide antibiotic for respiratory, skin, and eye infections. Effective against atypical bacteria."
bartonellosis,Azithromycin,Doxycycline,Rifampin,Effective for Bartonella infections; prevents complications.,A macrolide antibiotic with anti-inflammatory properties. Widely used for respiratory and sexually transmitted infections. Excellent tissue penetration.
tetanus,Metronidazole,Penicillin,Doxycycline,Active against Clostridium tetani and prevents toxin production.,An antiprotozoal and antibacterial effective against anaerobes. Commonly used for intra-abdominal infections.
