Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
impetigo,Azithromycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
diphtheria,Amoxicillin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Ceftriaxone,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
strep_throat,Amoxicillin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Vancomycin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Amoxicillin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
cholera,Ceftriaxone,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Amoxicillin,Metronidazole,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Azithromycin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Ceftriaxone,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Azithromycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Azithromycin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Amoxicillin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Ceftriaxone,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Doxycycline,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Ceftriaxone,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Ceftriaxone,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Amoxicillin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
diphtheria,Azithromycin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Ceftriaxone,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Azithromycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Ceftriaxone,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
cholera,Azithromycin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
legionnaires_disease,Vancomycin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Vancomycin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Azithromycin,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
whooping_cough,Ceftriaxone,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Amoxicillin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Doxycycline,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Vancomycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Azithromycin,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Azithromycin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Ceftriaxone,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Amoxicillin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Doxycycline,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Vancomycin,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Doxycycline,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
sinusitis,Ceftriaxone,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
cholera,Ceftriaxone,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Ceftriaxone,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
ear_infection,Ceftriaxone,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Ceftriaxone,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Clindamycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Amoxicillin,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Vancomycin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Doxycycline,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Doxycycline,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
typhoid_fever,Doxycycline,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Azithromycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Doxycycline,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
strep_throat,Azithromycin,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Doxycycline,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
sinusitis,Azithromycin,Metronidazole,Levofloxacin,Chosen for its targeted activity and minimal side effects.
cholera,Ceftriaxone,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Doxycycline,Metronidazole,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Ceftriaxone,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Ceftriaxone,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Azithromycin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Doxycycline,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Vancomycin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Doxycycline,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Amoxicillin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Azithromycin,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Doxycycline,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
campylobacteriosis,Doxycycline,Clindamycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Vancomycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Azithromycin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Doxycycline,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
cholera,Vancomycin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Amoxicillin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Vancomycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Doxycycline,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Doxycycline,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
tuberculosis,Azithromycin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Amoxicillin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Ceftriaxone,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Amoxicillin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Vancomycin,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Vancomycin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
urinary_tract_infection,Doxycycline,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Vancomycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
diphtheria,Vancomycin,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Doxycycline,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Amoxicillin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Azithromycin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
sinusitis,Azithromycin,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Amoxicillin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Azithromycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Vancomycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Azithromycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Vancomycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
tuberculosis,Doxycycline,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Ceftriaxone,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Vancomycin,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
skin_abscess,Vancomycin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Metronidazole,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Azithromycin,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
campylobacteriosis,Ceftriaxone,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Doxycycline,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Ceftriaxone,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Amoxicillin,Ciprofloxacin,Ampicillin,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Vancomycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
cholera,Azithromycin,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Amoxicillin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Ceftriaxone,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
tuberculosis,Vancomycin,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Doxycycline,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Vancomycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Azithromycin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Amoxicillin,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Ceftriaxone,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Amoxicillin,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Azithromycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Ceftriaxone,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Azithromycin,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Azithromycin,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Vancomycin,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Ceftriaxone,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Doxycycline,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Vancomycin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Azithromycin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Ceftriaxone,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Doxycycline,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Amoxicillin,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
chlamydia,Vancomycin,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Ceftriaxone,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Doxycycline,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
typhoid_fever,Ceftriaxone,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
urinary_tract_infection,Azithromycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Doxycycline,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
diphtheria,Azithromycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Doxycycline,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Ceftriaxone,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Ceftriaxone,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
sinusitis,Vancomycin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
cholera,Ceftriaxone,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Azithromycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Vancomycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Amoxicillin,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Azithromycin,Metronidazole,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Doxycycline,Ciprofloxacin,Ampicillin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Amoxicillin,Linezolid,Gentamicin,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Azithromycin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
